class_old,class_new
.appMount_fae9dd,.appMount_c99875
.layer__2efaa,.layer_f7d46a
.container__037ed,.container_d1f8f5
.base__3e6af,.base_c0676e
.backdrop__7e89b,.backdrop__1a911
.withLayer__1fe9d,.withLayer__29ace
.colorDefault__39671,.colorDefault__438d3
.colorDanger_fd4e9b,.colorDanger__5d2e7
.colorStreamerMode_e927c0,.colorStreamerMode_cb7f84
.textLink__18003,.textLink_a20eaa
.closeButton_ffc97a,.closeButton__90904
.button__57d93,.button__33db6
.icon__15586,.icon__60750
.iconWindows_ca56a9,.iconWindows__56d93
.iconApple__38c42,.iconApple__75200
.iconAndroid__90385,.iconAndroid__121e5
.platformIcon_e1560d,.platformIcon__74118
.titleBar__01af6,.titleBar__710b0
.unfocused_a1a492,.unfocused__66649
.typeWindows__5fa63,.typeWindows_e41dab
.wordmark__0d178,.wordmark__5b8c9
.winButton__88672,.winButton_f17fb6
.winButtonMinMax__72f36,.winButtonMinMax_caf9c8
.winButtonClose__73489,.winButtonClose__6396d
.typeMacOS__496b0,.typeMacOS_cacc59
.typeMacOSWithFrame_db4a7d,.typeMacOSWithFrame__376b6
.macButtons__7b1bc,.macButtons__40068
.macButton__3b74b,.macButton__0de05
.macButtonClose__071f2,.macButtonClose_d318e3
.macButtonMaximize__65e03,.macButtonMaximize__2d4cd
.macButtonMinimize_ff73a4,.macButtonMinimize__38185
.progressBarContainer__9b571,.progressBarContainer_e11b41
.containerDefault__23a29,.containerDefault_e3b32b
.containerUserOver_fe1d69,.containerUserOver__91b97
.containerDragBefore__06455,.containerDragBefore__1b24b
.containerDragAfter__72575,.containerDragAfter_e03e10
.containerDragAfter__72575,.containerDragAfter_e03e10
.containerDragBefore__06455,.containerDragBefore__1b24b
.containerDefault__23a29,.containerDefault_e3b32b
.containerDragAfter__72575,.containerDragAfter_e03e10
.containerDragBefore__06455,.containerDragBefore__1b24b
.containerUserOver_fe1d69,.containerUserOver__91b97
.wrapper__9c483,.wrapper__07e2f
.clickable_dbdd2a,.clickable__797c7
.collapsed__8fe3c,.collapsed_c227d2
.mainContent_a0b319,.mainContent__2333c
.icon_ef4486,.icon__3aa8e
.name__590d6,.name__27f04
.overflow__87fe8,.overflow__993fa
.children_d4d259,.children_d18c7d
.addButtonIcon_b776b3,.addButtonIcon_d9a52c
.button_fb39e8,.button_c7b3ea
.buttonIcon__9d124,.buttonIcon__56c11
.containerDefault__3187b,.containerDefault_ae2ea4
.containerDragBefore_fe91aa,.containerDragBefore__257b9
.containerDragAfter__437c5,.containerDragAfter_fec62e
.containerUserOver__8b873,.containerUserOver__2f65b
.containerDragAfter__437c5,.containerDragAfter_fec62e
.containerDragBefore_fe91aa,.containerDragBefore__257b9
.containerDefault__3187b,.containerDefault_ae2ea4
.containerDragAfter__437c5,.containerDragAfter_fec62e
.containerDragBefore_fe91aa,.containerDragBefore__257b9
.containerUserOver__8b873,.containerUserOver__2f65b
.wrapper__7bcde,.wrapper__612a5
.modeUnreadImportant_efb53e,.modeUnreadImportant__35358
.modeSelected__487d6,.modeSelected__473f1
.modeConnected__1c02e,.modeConnected__52a8f
.modeMuted__0aeea,.modeMuted_f0a72e
.link__95dc0,.link_ddbb36
.linkTop_eaa673,.linkTop_c8969d
.icon_eff5d4,.icon__67ab4
.name__8d1ec,.name__4eb92
.children_a486f8,.children__563f2
.iconItem__8e3b8,.iconItem__56989
.actionIcon_d679b5,.actionIcon_b149a2
.wrapper__5848b,.wrapper__71278
.listDefault__205d0,.listDefault__4e3fa
.clickable__137bc,.clickable_a2c5ad
.draggable__081c0,.draggable__68384
.voiceUser__0470a,.voiceUser__629a5
.selected__471ca,.selected__80fc0
.content_b60865,.content__3b07e
.avatarContainer__39fb5,.avatarContainer__5724c
.avatarSpeaking_c95053,.avatarSpeaking_f239de
.username__73ce9,.username_a42504
.usernameSpeaking__78095,.usernameSpeaking__22f2f
.voiceChannelsButton__46c37,.voiceChannelsButton_fd0b98
.container_a4480b,.container__9d861
.icon__62403,.icon__36b35
.avatarContainer__7b330,.avatarContainer__37747
.avatarContainerMasked__6a03e,.avatarContainerMasked_ed6212
.clickableAvatar_e26163,.clickableAvatar_b78cbb
.emptyUser_dba665,.emptyUser__8a436
.moreUsers_cd5dfc,.moreUsers__61edd
